,acode,Month,total,airport,city,state,country,lat,long,delayed,fpm,dpf
1099,HOU,1,75845,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,5203,14.57716702
1808,OAK,6,75597,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,5472,13.81524123
600,CVG,1,74968,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5948,12.60390047
590,CVG,6,74929,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5558,13.48128823
2417,STL,9,74303,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,1,13204,5.627309906
2370,SMF,1,73012,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3327,21.94529606
2255,SEA,9,72098,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,1,8584,8.399114632
2086,RDU,6,71872,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,3116,23.06546855
2271,SFO,10,71862,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,1,8605,8.351191168
1940,PDX,12,71479,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4189,17.06349964
619,DAL,8,71091,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,4331,16.41445394
1936,PDX,1,71051,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4801,14.7992085
401,BWI,11,70871,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,1,7521,9.423082037
1151,IAD,4,70762,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4632,15.27677029
1550,MCO,4,70472,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,1,8838,7.973749717
1589,MEM,2,70210,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,4559,15.40030708
897,FLL,4,70196,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,1,4747,14.7874447
1108,HOU,12,69980,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,4383,15.96623317
624,DAL,3,69971,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,4223,16.56902676
1934,PDX,7,69957,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,5100,13.71705882
1928,PBI,3,69720,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,1,2599,26.82570219
1288,JFK,9,69109,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,1,5133,13.46366647
1567,MDW,7,69092,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4386,15.75284998
1418,LGA,7,68921,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,1,10421,6.613664715
276,BNA,6,68888,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4799,14.35465722
1988,PIT,4,68884,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,9152,7.526660839
616,DAL,10,68810,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,3957,17.38943644
1771,MSY,3,68442,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4533,15.09861019
2381,SNA,8,67831,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,4023,16.8608004
2163,SAN,12,67793,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,5969,11.35751382
402,BWI,9,67778,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,1,8368,8.099665392
1146,IAD,2,67412,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4174,16.1504552
